iter	Logloss
0	0.6547494714
1	0.6175237624
2	0.5882429037
3	0.5587695418
4	0.5346125593
5	0.5125407008
6	0.4886137147
7	0.4689240566
8	0.4529115453
9	0.4334233193
10	0.4196167869
11	0.4077556821
12	0.3918933889
13	0.3800952993
14	0.3711340468
15	0.3622584494
16	0.3527715664
17	0.3447920502
18	0.3366062312
19	0.3304795429
20	0.3252089856
21	0.317104708
22	0.3114286073
23	0.3058423186
24	0.2996110289
25	0.2937555628
26	0.2872638606
27	0.2822941162
28	0.2786894684
29	0.2737007638
30	0.2709334061
31	0.2665576649
32	0.2628346358
33	0.2590804798
34	0.2567892922
35	0.2532783427
36	0.2486827408
37	0.244411724
38	0.2412572862
39	0.2389733255
40	0.2363979976
41	0.2341082334
42	0.2325688097
43	0.2291669801
44	0.2260400032
45	0.2242454848
46	0.2219537754
47	0.2186064354
48	0.2159873988
49	0.21383701
50	0.2115778746
51	0.2096085251
52	0.2070873859
53	0.2049693917
54	0.2027572802
55	0.201307928
56	0.1990535186
57	0.1969972118
58	0.1950978486
59	0.1929237585
60	0.1923426005
61	0.1912092179
62	0.1899031678
63	0.1888150007
64	0.1875868539
65	0.1862097734
66	0.1850928047
67	0.1839801027
68	0.1822024609
69	0.1809880019
70	0.1791402475
71	0.1774355485
72	0.1763840612
73	0.1749435052
74	0.1736178278
75	0.1728074327
76	0.1712852732
77	0.1701998227
78	0.1691954103
79	0.1674574329
80	0.166624212
81	0.1656918805
82	0.1644086866
83	0.1635526784
84	0.1623521518
85	0.1606678592
86	0.1599927897
87	0.1589438204
88	0.158045936
89	0.1558047276
90	0.1545750046
91	0.1538140043
92	0.1527648131
93	0.1516425683
94	0.1506620049
95	0.1494981517
96	0.1482772496
97	0.1472921774
98	0.145634338
99	0.1438099193
