iter	Passed	Remaining
0	68	6802
1	73	3592
2	77	2519
3	80	1943
4	84	1604
5	87	1375
6	90	1204
7	94	1085
8	97	984
9	100	902
10	103	840
11	106	782
12	109	731
13	111	686
14	114	647
15	117	614
16	119	584
17	122	556
18	124	531
19	127	509
20	129	488
21	132	468
22	134	450
23	137	434
24	139	419
25	142	405
26	144	391
27	147	378
28	149	366
29	152	355
30	155	345
31	158	335
32	160	326
33	163	316
34	165	307
35	168	298
36	170	290
37	172	282
38	175	274
39	177	266
40	180	259
41	182	252
42	185	245
43	187	239
44	190	232
45	192	226
46	195	220
47	197	214
48	200	208
49	202	202
50	204	196
51	207	191
52	209	186
53	212	180
54	214	175
55	217	170
56	220	166
57	222	161
58	225	156
59	227	151
60	230	147
61	232	142
62	235	138
63	237	133
64	240	129
65	243	125
66	245	120
67	247	116
68	250	112
69	252	108
70	255	104
71	257	100
72	259	96
73	262	92
74	265	88
75	267	84
76	269	80
77	272	76
78	275	73
79	278	69
80	281	65
81	283	62
82	286	58
83	289	55
84	291	51
85	294	47
86	296	44
87	299	40
88	302	37
89	304	33
90	307	30
91	309	26
92	312	23
93	314	20
94	316	16
95	319	13
96	321	9
97	324	6
98	326	3
99	329	0
